"","X1","project","year","fellow","region","match"
"1",1,"
              To research access to primary health care for people in contact with the criminal justice system - USA, Canada
",2018,"Abbott, Penelope","USA","yes"
"2",1,"
              To research access to primary health care for people in contact with the criminal justice system - USA, Canada
",2018,"Abbott, Penelope","Canada","yes"
"3",2,"
              To investigate the protection of Indigenous cultural rights in Panama and the United States - Panama, USA, Switzerland
",2018,"Adjei, Patricia","Panama","yes"
"4",2,"
              To investigate the protection of Indigenous cultural rights in Panama and the United States - Panama, USA, Switzerland
",2018,"Adjei, Patricia","USA","yes"
"5",2,"
              To investigate the protection of Indigenous cultural rights in Panama and the United States - Panama, USA, Switzerland
",2018,"Adjei, Patricia","Switzerland","yes"
"6",3,"
              The Dr Dorothea Sandars Churchill Fellowship to develop cutting edge oncofertility options for Australian females - USA
",2018,"Bertoldo, Michael","USA","yes"
"7",4,"
              To investigate sites relating to the Seven Sisters star constellation - Canada, Egypt, UK, Ireland
",2018,"Betts, Susan","Canada","yes"
"8",4,"
              To investigate sites relating to the Seven Sisters star constellation - Canada, Egypt, UK, Ireland
",2018,"Betts, Susan","Egypt","yes"
"9",4,"
              To investigate sites relating to the Seven Sisters star constellation - Canada, Egypt, UK, Ireland
",2018,"Betts, Susan","UK","yes"
"10",4,"
              To investigate sites relating to the Seven Sisters star constellation - Canada, Egypt, UK, Ireland
",2018,"Betts, Susan","Ireland","yes"
"11",5,"
              To develop expertise in neuromuscular rehabilitation care for children - USA, Canada, UK, Belgium, Denmark
",2018,"Blakeman, Misty","USA","yes"
"12",5,"
              To develop expertise in neuromuscular rehabilitation care for children - USA, Canada, UK, Belgium, Denmark
",2018,"Blakeman, Misty","Canada","yes"
"13",5,"
              To develop expertise in neuromuscular rehabilitation care for children - USA, Canada, UK, Belgium, Denmark
",2018,"Blakeman, Misty","UK","yes"
"14",5,"
              To develop expertise in neuromuscular rehabilitation care for children - USA, Canada, UK, Belgium, Denmark
",2018,"Blakeman, Misty","Belgium","yes"
"15",5,"
              To develop expertise in neuromuscular rehabilitation care for children - USA, Canada, UK, Belgium, Denmark
",2018,"Blakeman, Misty","Denmark","yes"
"16",6,"
              To improve organisational inclusion and fully leverage the diversity employed in fire agencies - Japan, USA, UK, Iceland, Germany
",2018,"Braidner, Sonja","Japan","yes"
"17",6,"
              To improve organisational inclusion and fully leverage the diversity employed in fire agencies - Japan, USA, UK, Iceland, Germany
",2018,"Braidner, Sonja","USA","yes"
"18",6,"
              To improve organisational inclusion and fully leverage the diversity employed in fire agencies - Japan, USA, UK, Iceland, Germany
",2018,"Braidner, Sonja","UK","yes"
"19",6,"
              To improve organisational inclusion and fully leverage the diversity employed in fire agencies - Japan, USA, UK, Iceland, Germany
",2018,"Braidner, Sonja","Iceland","yes"
"20",6,"
              To improve organisational inclusion and fully leverage the diversity employed in fire agencies - Japan, USA, UK, Iceland, Germany
",2018,"Braidner, Sonja","Germany","yes"
"21",7,"
              To foster positive impacts of migration by bridging the gap between humanitarian/ skilled visa pathways - Jordan, UK, Germany, Canada, USA
",2018,"Brizar, Marina","Jordan","yes"
"22",7,"
              To foster positive impacts of migration by bridging the gap between humanitarian/ skilled visa pathways - Jordan, UK, Germany, Canada, USA
",2018,"Brizar, Marina","UK","yes"
"23",7,"
              To foster positive impacts of migration by bridging the gap between humanitarian/ skilled visa pathways - Jordan, UK, Germany, Canada, USA
",2018,"Brizar, Marina","Germany","yes"
"24",7,"
              To foster positive impacts of migration by bridging the gap between humanitarian/ skilled visa pathways - Jordan, UK, Germany, Canada, USA
",2018,"Brizar, Marina","Canada","yes"
"25",7,"
              To foster positive impacts of migration by bridging the gap between humanitarian/ skilled visa pathways - Jordan, UK, Germany, Canada, USA
",2018,"Brizar, Marina","USA","yes"
"26",8,"
              The Jack Green Churchill Fellowship to determine effective nutritional management strategies for BCS in intensively housed dairy farms - USA, Saudi Arabia
",2018,"Brown, Daniel","USA","yes"
