"","project","year","fellow"
"1","
              To research access to primary health care for people in contact with the criminal justice system - USA, Canada
            ","2018","Abbott, Penelope"
"2","
              To investigate the protection of Indigenous cultural rights in Panama and the United States - Panama, USA, Switzerland
            ","2018","Adjei, Patricia"
"3","
              The Dr Dorothea Sandars Churchill Fellowship to develop cutting edge oncofertility options for Australian females - USA
            ","2018","Bertoldo, Michael"
"4","
              To investigate sites relating to the Seven Sisters star constellation - Canada, Egypt, UK, Ireland
            ","2018","Betts, Susan"
"5","
              To develop expertise in neuromuscular rehabilitation care for children - USA, Canada, UK, Belgium, Denmark
            ","2018","Blakeman, Misty"
"6","
              To improve organisational inclusion and fully leverage the diversity employed in fire agencies - Japan, USA, UK, Iceland, Germany
            ","2018","Braidner, Sonja"
"7","
              To foster positive impacts of migration by bridging the gap between humanitarian/ skilled visa pathways - Jordan, UK, Germany, Canada, USA
            ","2018","Brizar, Marina"
"8","
              The Jack Green Churchill Fellowship to determine effective nutritional management strategies for BCS in intensively housed dairy farms - USA, Saudi Arabia
            ","2018","Brown, Daniel"
"9","
              To reduce implicit bias errors in Police decision-making, particularly in time sensitive incidents - UK, USA, Canada, New Zealand
            ","2018","Brown, Courtney"
"10","
              To improve Food Rescue in Australia by examining best practices globally - UK, Ireland, France, Denmark, USA, Canada
            ","2018","Carson, Simone"
"11","
              To learn the finer points of the English Saddle, Harness and Collar making - UK
            ","2018","Castles, Peter"
"12","
              The Donald Mackay Churchill Fellowship to prevent the risks and rise of Violent Extremism in Australia - Canada, UK, Norway, Germany, Switzerland
            ","2018","Cheng, Alpha"
"13","
              The Department for Child Protection and Family Support Churchill Fellowship to understand the mechanisms which enable effective cross-sector intervention for vulnerable children - New Zealand, USA, Canada
            ","2018","Chicote, Karina"
"14","
              To create fairness and accountability in the use of government decision making algorithms - UK, Belgium, Austria
            ","2018","Churches, Owen"
"15","
              To explore inclusive music programs, venues and festivals which actively engage disabled people - USA, UK, Ireland
            ","2018","Collett, Morwenna"
"16","
              To establish best practice for a regulatory framework to create equality through discrimination law - Sweden, UK, USA
            ","2018","Cooper, Aimee"
"17","
              The Leslie (Les) J. Fleming Churchill Fellowship to undertake expert training in pre-clinical evaluation of implantable sensors for cancer diagnostics - USA
            ","2018","Corrie, Simon"
"18","
              The Jack Brockhoff Foundation Churchill Fellowship to investigate new approaches to strengthen social connection of newly-arrived health workers in rural Australia - Canada
            ","2018","Cosgrave, Catherine"
"19","
              The Samuel and Eileen Gluyas Churchill Fellowship to increase the domestic marketability of Brahman cattle through improved marketing and genetics - USA
            ","2018","Cruwys, Rachael"
"20","
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to access and redistribute world-class microplastic research to enhance Australia's research profile - UK
            ","2018","Dawson, Amanda"
"21","
              To examine the operating models of international homicide squads to build our national capability - China, Germany, UK, USA, Canada
            ","2018","Day, Timothy"
"22","
              To explore victim-centred restorative justice programs for sexual assault and personal violence - USA, Canada, UK, Netherlands, Denmark, New Zealand
            ","2018","Deakin-Greenwood, Thea"
"23","
              To investigate how organisations can provide purpose and reintegration opportunities for veterans - USA
            ","2018","Dobson, Mark"
"24","
              To develop a systemic approach to juror support programs in Australia - Canada, USA, UK
            ","2018","Dore, Paul"
"25","
              The Elvie Munday Churchill Fellowship to investigate factors that enable school lunch programs to impact positively on student health and wellbeing - UK, Netherlands, France, Finland, USA, Japan
            ","2018","Dunbabin, Julie"
"26","
              To accelerate the integration of ""Smart Mobility"" to enable more liveable Australian communities - USA, Canada, Japan, South Korea, Netherlands, Spain, UK, South Africa
            ","2018","Eather, Zoe"
"27","
              To investigate the use of venture philanthropy to grow enterprises that foster economic inclusion - USA, Denmark, Germany, Switzerland
            ","2018","Egan, Laura"
