description,year,name,region,on_churchill,on_map,region_edited
"
              To undertake consultation with Aboriginal/Indigenous communities on the implementation of a Doula training program for Aboriginal women to provide cultural support to Aboriginal women who are birthing away off country/traditional lands - Canada, USA, New 
            ",2018,"Gliddon, Janinne",New,yes,no,New Zealand
"
              To examine leading dispute resolution practices upon cross-cultural family breakdown - Singapore, Malaysia, Hong Kong, Japan, Canada
            ",2017,"Barr, Stuart ",Hong Kong,yes,no,China
"
              To investigate early intervention in mental illnesses for serving police and peer support for former police employees - USA, Canada, UK, Hong Kong
            ",2017,"Dean, Greg",Hong Kong,yes,no,China
"
              To research new, practical methods to fight law enforcement corruption by organised crime - Hong Kong, Austria, Lithuania, Estonia, Finland
            ",2017,"Nixon, Carolyn",Hong Kong,yes,no,China
"
              To better understand composers living and working from islands or isolated cities - Iceland, USA, New Zealand


 
            ",2017,"Stevenson, Dean",NA,yes,no,Unknown
"
              To learn the latest genomic analytical tools for genetic diagnosis of rare neuromuscular disorders - USA

            ",2017,"Waddell, Leigh",NA,yes,no,Unknown
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to learn how to make 18th Century clarinets for Australian clarinettists - UK, The Netherlands
            ",2016,"Doyle, Andrew",The Netherlands,yes,no,Netherlands
"
              To research the effects of vehicle lane changing on freeway capacity and road safety - France, Norway, Sweden, Netherlands, Belgium, Germany, Italy, Greece and Israel.
            ",2016,"Gaffney, John",Greece and Israel,yes,no,Greece
"
              To research the effects of vehicle lane changing on freeway capacity and road safety - France, Norway, Sweden, Netherlands, Belgium, Germany, Italy, Greece and Israel.
            ",2016,"Gaffney, John",Greece and Israel,yes,no,Israel
"
              To study both age old and key new techniques in vegetable and legume fermentation - Denmark, Italy, China, Korea, Japan
            ",2016,"James, Adam",Korea,yes,no,South Korea
"
              To research initiatives for reducing recidivism of (ex)offenders through supported reintegration and rehabilitation - Singapore, Scotland, Canada, USA
            ",2016,"Kelly, Louise",Scotland,yes,no,UK
"
              To enhance understanding of Asian triad societies and the influence on Australian illicit drug markets - Hong Kong, Taiwan
            ",2016,"Pargin, Giles",Hong Kong,yes,no,China
"
              The Dorothy and Brian Wilson Churchill Fellowship to research innovations for improving the lives of victims of serious violence committed by people with a mental illness - USA, Canada, UK, The Netherlands
            ",2016,"Power, Michael",The Netherlands,yes,no,Netherlands
"
              To learn the traditional arts and language once practiced on Norfolk Island - Pitcairn Island, Tahiti
            ",2016,"Snell, Damien",Pitcairn Island,yes,no,UK
"
              To learn the traditional arts and language once practiced on Norfolk Island - Pitcairn Island, Tahiti
            ",2016,"Snell, Damien",Tahiti,yes,no,French Polynesia
