project,year,fellow,region,match,corrected
"
              To undertake consultation with Aboriginal/Indigenous communities on the implementation of a Doula training program for Aboriginal women to provide cultural support to Aboriginal women who are birthing away off country/traditional lands - Canada, USA, New 
",2018,"Gliddon, Janinne",New,no,NA
"
              To examine leading dispute resolution practices upon cross-cultural family breakdown - Singapore, Malaysia, Hong Kong, Japan, Canada
",2017,"Barr, Stuart",Hong Kong,no,China
"
              To investigate early intervention in mental illnesses for serving police and peer support for former police employees - USA, Canada, UK, Hong Kong
",2017,"Dean, Greg",Hong Kong,no,China
"
              To research new, practical methods to fight law enforcement corruption by organised crime - Hong Kong, Austria, Lithuania, Estonia, Finland
",2017,"Nixon, Carolyn",Hong Kong,no,China
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to learn how to make 18th Century clarinets for Australian clarinettists - UK, The Netherlands
",2016,"Doyle, Andrew",The Netherlands,no,Netherlands
"
              To research the effects of vehicle lane changing on freeway capacity and road safety - France, Norway, Sweden, Netherlands, Belgium, Germany, Italy, Greece and Israel.
",2016,"Gaffney, John",Greece and Israel,no,Greece
"
              To research the effects of vehicle lane changing on freeway capacity and road safety - France, Norway, Sweden, Netherlands, Belgium, Germany, Italy, Greece and Israel.
",2016,"Gaffney, John",Greece and Israel,no,Israel
"
              To study both age old and key new techniques in vegetable and legume fermentation - Denmark, Italy, China, Korea, Japan
",2016,"James, Adam",Korea,no,South Korea
"
              To research initiatives for reducing recidivism of (ex)offenders through supported reintegration and rehabilitation - Singapore, Scotland, Canada, USA
",2016,"Kelly, Louise",Scotland,no,UK
"
              To enhance understanding of Asian triad societies and the influence on Australian illicit drug markets - Hong Kong, Taiwan
",2016,"Pargin, Giles",Hong Kong,no,China
"
              The Dorothy and Brian Wilson Churchill Fellowship to research innovations for improving the lives of victims of serious violence committed by people with a mental illness - USA, Canada, UK, The Netherlands
",2016,"Power, Michael",The Netherlands,no,Netherlands
"
              To learn the traditional arts and language once practiced on Norfolk Island - Pitcairn Island, Tahiti
",2016,"Snell, Damien",Pitcairn Island,no,UK
"
              To learn the traditional arts and language once practiced on Norfolk Island - Pitcairn Island, Tahiti
",2016,"Snell, Damien",Tahiti,no,French Polynesia
"
              The Dame Roma Mitchell Churchill Fellowship to undertake study in contemporary music composition, performance and ensemble directing - USA, Holland, Denmark, Germany, UK, Norway, Sweden
",2015,"Karlen Gelli, Rafael",Holland,no,Netherlands
"
              To investigate innovative programs of raising awareness, management and solutions to plastic pollution - USA, Netherlands, UK, Hong Kong
",2015,"Prince-Ruiz, Rebecca",Hong Kong,no,China
"
              To investigate specialist DNA techniques for the identification of compromised human remains - USA, Netherlands, Czech Republic, Austria, Slovenia, Bosnia & Herzegovina
",2015,"Ward, Jodie",Bosnia & Herzegovina,no,Bosnia and Herzegovina
"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate medical research commercialisation & innovation initiatives - USA, Germany & Singapore
",2014,"Brew, Nadine",Germany & Singapore,no,Germany
"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate medical research commercialisation & innovation initiatives - USA, Germany & Singapore
",2014,"Brew, Nadine",Germany & Singapore,no,Singapore
"
              The Sir William Kilpatrick Churchill Fellowship to gain expertise in life supportive treatment for patients bridged to lung transplant on extracorporeal membrane oxygenation - France, Germany, Belgium, USA & Canada
",2014,"Button, Brenda",USA & Canada,no,USA
"
              The Sir William Kilpatrick Churchill Fellowship to gain expertise in life supportive treatment for patients bridged to lung transplant on extracorporeal membrane oxygenation - France, Germany, Belgium, USA & Canada
",2014,"Button, Brenda",USA & Canada,no,Canada
"
              To investigate cultural perspectives on sustainable social and emotional strategies that can be implemented by secondary school teachers to support mental health and wellness of gifted adolescents - Singapore, Hong Kong, UK, Slovenia, USA
",2014,"Furphy , Valerie",Hong Kong,no,China
"
              To investigate social housing waiting lists to prioritise assistance for homeless people - Singapore, Hong Kong, USA, UK
",2014,"Georgopoulos, Debbie",Hong Kong,no,China
"
              To investigate planning policies that deliver positive social outcomes in hyper-dense, high-rise residential environments - USA, Canada, Hong Kong, Japan, South Korea
",2014,"Hodyl, Leanne",Hong Kong,no,China
"
              To investigate how public art galleries construct and represent national identity - USA, Hong Kong, Singapore
",2014,"Russ, Vanessa",Hong Kong,no,China
"
              The Park Family Churchill Fellowship to study programs which enhance the work readiness of young people leaving school - UK, France, Greece, Hong Kong
",2013,"Balcomb, Ian",Hong Kong,no,China
"
              To explore innovative models for scaling social initiatives to maximise social impact - Singapore, Hong Kong, USA, UK, Canada
",2013,"McCulloch, Brodie",Hong Kong,no,China
"
              To review the delivery of counselling support for women undergoing new prenatal technology - UK, USA, Hong Kong
",2013,"McGrath, Pauline",Hong Kong,no,China
"
              To research ways in which isolated artists work to create strong and tourable theatre - Turkey, Germany, UK, Ireland, Columbia
",2013,"O'Donnell, Angela",Columbia,no,Colombia
"
              The Vincent Fairfax Family Foundation Churchill Fellowship to discover new ways to develop and deliver multidisciplinary falls prevention intervention that can effectively protect older Australians from falls after discharge from hospital - UK, Netherland
",2013,"Shkuratova, Nataliya",Netherland,no,Netherlands
"
              To investigate, develop and implement aged care dementia immersive sensory art projects - Hong Kong, Japan, UK
",2013,"Soropos, Efterpi",Hong Kong,no,China
"
              To investigate strategies for overcoming poor perception and improving the uptake of home-based dialysis therapies - Hong Kong, Canada
",2012,"Chow, Josephine",Hong Kong,no,China
"
              To explore the development of improved fire investigation tools by incorporating the latest developments in fire research - China, Hong Kong, Sweden, USA, Canada
",2012,"Cook, Morgan",Hong Kong,no,China
"
              To gain practical knowledge of the methods used to load and unload containers from supply ships at small, isolated islands - Australia, Nauru, Ascension/St Helena Island, Easter Island, Tahiti
",2012,"Evans, Duncan",Ascension/St Helena Island,no,UK
"
              To gain practical knowledge of the methods used to load and unload containers from supply ships at small, isolated islands - Australia, Nauru, Ascension/St Helena Island, Easter Island, Tahiti
",2012,"Evans, Duncan",Easter Island,no,Chile
"
              To gain practical knowledge of the methods used to load and unload containers from supply ships at small, isolated islands - Australia, Nauru, Ascension/St Helena Island, Easter Island, Tahiti
",2012,"Evans, Duncan",Tahiti,no,French Polynesia
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to undertake an investigation of piccolo performance and teaching - Hong Kong, Germany, UK, USA
",2012,"Hudson, Lloyd",Hong Kong,no,China
"
              The Vincent Fairfax Ethics in Leadership Foundation Churchill Fellowship to visit Microsoft Worldwide schools to investigate innovative leadership, ICT and global learning - Korean Republic, Singapore, Malaysia
",2012,"Turner, Elisabeth",Korean Republic,no,South Korea
"
              The Churchill Fellows' Association of Victoria Churchill Fellowship to investigate methods for sustaining production and creative culture in the Australian animation industry - Japan, USA, Canada, UK, France, Germany, Hong Kong
",2011,"BAKER, Leo",Hong Kong,no,China
"
              To develop strategies for composing with environmental sound in fixed-media and live performance - Arctic Circle, Canada, USA
",2011,"BLINKHORN, Daniel",Arctic Circle,no,NA
"
              To study community cultural engagement - UK, Ireland, Austria Portugal, USA
",2011,"MURRAY, Glen",Austria Portugal,no,Austria
"
              To study community cultural engagement - UK, Ireland, Austria Portugal, USA
",2011,"MURRAY, Glen",Austria Portugal,no,Portugal
"
              The Australian Biological Resources Study Churchill Fellowship to examine Australian specimens which will result in a large number of new species descriptions of frogs and reptiles, particularly geckos - UK, USA, West Indies
",2010,"DOUGHTY, Paul",West Indies,no,NA
